LFPC|157 LEY Federal de Protección al Consumidor DOF 24/12/1992 Nueva reforma DOF 23/12/2025
LFPCA|154 LEY Federal de Procedimiento Contencioso Administrativo DOF 01/12/2005 Nueva reforma DOF 14/11/2025
LFPCCS_110518|155 LEY Federal de Producción, Certificación y Comercio de Semillas DOF 15/06/2007 DOF 11/05/2018
LFPDPPP|158 LEY Federal de Protección de Datos Personales en Posesión de los Particulares DOF 20/03/2025 Nueva reforma DOF 14/11/2025
LFPED|181 LEY Federal para Prevenir y Eliminar la Discriminación DOF 11/06/2003 Nueva reforma DOF 14/11/2025
LFPIORPI|179 LEY Federal para la Prevención e Identificación de Operaciones con Recursos de Procedencia Ilícita DOF 17/10/2012 DOF 16/07/2025
LFPPCPCIA|159 Ley Federal de Protección del Patrimonio Cultural de los Pueblos y Comunidades Indígenas y Afromexicanas DOF 17/01/2022 Nueva reforma DOF 14/11/2025
LFPPI|156 LEY Federal de Protección a la Propiedad Industrial DOF 01/07/2020 Nueva reforma DOF 15/01/2026
LFPPIPP_200521|180 LEY Federal para la Protección a Personas que Intervienen en el Procedimiento Penal DOF 08/06/2012 DOF 20/05/2021
LFPRH|152 LEY Federal de Presupuesto y Responsabilidad Hacendaria DOF 30/03/2006 DOF 16/07/2025
LFPSDMH|182 LEY Federal para Prevenir y Sancionar los Delitos Cometidos en Materia de Hidrocarburos DOF 12/01/2016 DOF 12/11/2021
LFRA|161 LEY Federal de Responsabilidad Ambiental DOF 07/06/2013 Nueva reforma DOF 14/11/2025
LFRCF_200521|052 LEY de Fiscalización y Rendición de Cuentas de la Federación DOF 18/07/2016 DOF 20/05/2021
LFRemSP_190521|160 LEY Federal de Remuneraciones de los Servidores Públicos DOF 19/05/2021 Sin reforma
LFRM|164 LEY Federal de Revocación de Mandato DOF 14/09/2021 DOF 26/09/2022 Sentencia SCJN
LFRPE|162 LEY Federal de Responsabilidad Patrimonial del Estado DOF 31/12/2004 DOF 29/12/2023
LFRSP|163 LEY Federal de Responsabilidades de los Servidores Públicos DOF 31/12/1982 DOF 01/04/2024
LFSA|165 LEY Federal de Sanidad Animal DOF 25/07/2007 DOF 21/05/2024
LFSP|167 LEY Federal de Seguridad Privada DOF 06/07/2006 DOF 17/10/2011
LFSV|166 LEY Federal de Sanidad Vegetal DOF 05/01/1994 DOF 11/05/2022
LFT|173 LEY Federal del Trabajo DOF 01/04/1970 Nueva reforma DOF 15/01/2026
